iter	Passed	Remaining
643	20362	11256
644	20393	11224
645	20424	11192
646	20462	11163
647	20492	11131
648	20521	11098
649	20552	11066
650	20586	11036
651	20620	11005
652	20649	10973
653	20677	10939
654	20707	10906
655	20741	10876
656	20780	10849
657	20811	10816
658	20848	10788
659	20881	10757
660	20913	10725
661	20946	10694
662	20979	10663
663	21017	10635
664	21046	10602
665	21076	10569
666	21108	10538
667	21137	10505
668	21166	10472
669	21196	10439
670	21231	10409
671	21259	10376
672	21292	10345
673	21324	10314
674	21353	10281
675	21382	10248
676	21417	10218
677	21480	10201
678	21513	10170
679	21539	10136
680	21571	10104
681	21602	10072
682	21632	10040
683	21669	10011
684	21725	9990
685	21762	9961
686	21796	9930
687	21830	9900
688	21864	9869
689	21896	9837
690	21938	9810
691	21975	9781
692	22004	9748
693	22037	9716
694	22069	9685
695	22097	9651
696	22132	9621
697	22163	9589
698	22202	9560
699	22240	9531
700	22277	9502
701	22308	9469
702	22342	9439
703	22375	9407
704	22415	9379
705	22447	9347
706	22479	9316
707	22509	9283
708	22543	9252
709	22578	9222
710	22618	9193
711	22645	9159
712	22681	9129
713	22710	9097
714	22740	9064
715	22774	9033
716	22803	9000
717	22834	8968
718	22867	8937
719	22900	8905
720	22933	8874
721	22961	8841
722	22997	8810
723	23028	8778
724	23060	8746
725	23091	8714
726	23121	8682
727	23149	8649
728	23176	8615
729	23209	8584
730	23239	8551
731	23277	8522
732	23313	8491
733	23379	8472
734	23437	8450
735	23528	8439
736	23582	8415
737	23753	8432
738	23791	8402
739	23874	8388
740	23928	8363
741	23994	8342
742	24070	8326
743	24099	8292
744	24124	8257
745	24154	8224
746	24204	8197
747	24234	8164
748	24262	8130
749	24294	8098
750	24323	8064
751	24352	8031
752	24389	8000
753	24423	7968
754	24456	7936
755	24483	7901
756	24512	7868
757	24543	7835
758	24580	7804
759	24613	7772
760	24644	7739
761	24673	7706
762	24703	7673
763	24734	7640
764	24762	7606
765	24790	7572
766	24825	7541
767	24854	7508
768	24886	7475
769	24914	7441
770	24942	7408
771	24973	7375
772	25002	7342
773	25031	7309
774	25066	7277
775	25144	7258
776	25202	7233
777	25264	7209
778	25335	7187
779	25395	7162
780	25520	7156
781	25652	7151
782	25758	7138
783	25814	7112
784	25916	7098
785	25970	7070
786	26024	7043
787	26070	7013
788	26116	6984
789	26155	6952
790	26185	6918
791	26223	6886
792	26267	6856
793	26314	6827
794	26364	6798
795	26409	6768
796	26457	6738
797	26502	6708
798	26550	6679
799	26594	6648
800	26635	6617
801	26676	6585
802	26713	6553
803	26752	6521
804	26791	6489
805	26832	6458
806	26873	6427
807	26914	6395
808	26955	6364
809	26991	6331
810	27035	6300
811	27070	6267
812	27110	6235
813	27172	6209
814	27210	6176
815	27242	6142
816	27269	6108
817	27309	6076
818	27340	6042
819	27378	6009
820	27426	5979
821	27469	5948
822	27506	5915
823	27547	5883
824	27577	5849
825	27607	5815
826	27638	5781
827	27666	5747
828	27696	5713
829	27726	5679
830	27755	5644
831	27789	5611
832	27827	5578
833	27868	5546
834	27897	5512
835	27932	5479
836	27968	5446
837	28021	5417
838	28062	5385
839	28097	5351
840	28127	5317
841	28165	5285
842	28211	5254
843	28239	5219
844	28272	5186
845	28301	5151
846	28331	5117
847	28361	5083
848	28393	5049
849	28423	5015
850	28454	4981
851	28483	4947
852	28514	4913
853	28542	4879
854	28575	4846
855	28605	4812
856	28644	4779
857	28676	4746
858	28703	4711
859	28736	4678
860	28766	4643
861	28793	4609
862	28824	4575
863	28855	4542
864	28889	4508
865	28919	4474
866	28949	4440
867	28978	4406
868	29005	4372
869	29034	4338
870	29064	4304
871	29105	4272
872	29135	4238
873	29162	4204
874	29191	4170
875	29219	4136
876	29249	4102
877	29283	4069
878	29310	4034
879	29350	4002
880	29378	3968
881	29415	3935
882	29445	3901
883	29474	3867
884	29506	3834
885	29535	3800
886	29564	3766
887	29599	3733
888	29627	3699
889	29655	3665
890	29684	3631
891	29713	3597
892	29743	3563
893	29771	3529
894	29804	3496
895	29838	3463
896	29868	3429
897	29896	3395
898	29928	3362
899	29957	3328
900	29988	3295
901	30024	3262
902	30050	3227
903	30079	3194
904	30109	3160
905	30142	3127
906	30171	3093
907	30226	3062
908	30262	3029
909	30314	2998
910	30361	2966
911	30416	2934
912	30454	2901
913	30480	2868
914	30505	2833
915	30533	2800
916	30561	2766
917	30592	2732
918	30621	2698
919	30652	2665
920	30683	2631
921	30715	2598
922	30744	2564
923	30779	2531
924	30833	2500
925	30863	2466
926	30892	2432
927	30931	2399
928	30965	2366
929	30995	2332
930	31026	2299
931	31060	2266
932	31089	2232
933	31121	2199
934	31186	2168
935	31244	2136
936	31313	2105
937	31353	2072
938	31384	2038
939	31424	2005
940	31451	1971
